token,sentiment,polarity
amend,0.4,1
amendable,0.45,1
amendment,0.15,1
amenity,0.4,1
amiable,0.7,1
amicable,0.4,1
ammunition,0.4,1
amoral,-0.35,-1
amortization,-0.1,-1
amortize,0.15,1
amount,0,0
ample,0.6,1
amplify,0.5,1
amusement,0.35,1
amusing,0.4,1
anachronism,-0.3,-1
anachronistic,0,0
anarchic,-0.45,-1
anathema,-0.4,-1
ancillary,0.05,1
anecdotal,-0.45,-1
anemic,-0.35,-1
anger,-0.5,-1
angry,-0.5,-1
angst,-0.4,-1
anguish,-0.55,-1
animate,0.35,1
annex,0.6,1
annihilate,-0.6,-1
announce,0,0
annoy,-0.3,-1
annoyance,-0.25,-1
annual,0,0
annualize,0,0
annul,-0.2,-1
annulment,-0.4,-1
anomalous,-0.1,-1
anomalously,-0.05,-1
anomaly,-0.2,-1
antagonize,-0.4,-1
antecedent,0,0
antibody,0.15,1
anticipate,0.25,1
anticipation,0.1,1
anticompetitive,-0.05,-1
anticorruption,0.35,1
antiquated,-0.2,-1
antique,0.05,1
antitrust,-0.25,-1
anxiety,-0.55,-1
anxious,-0.2,-1
apathy,-0.4,-1
apex,0.25,1
aplomb,0.45,1
apologize,0.2,1
apology,0,0
appall,-0.5,-1
appalling,-0.4,-1
apparent,0.05,1
appeal,0.3,1
appealable,0.1,1
appease,0.3,1
appellant,0,0
appellate,0,0
appellees,0,0
appetite,0,0
applaud,0.35,1
applause,0.45,1
apply,0,0
appreciable,0.35,1
appreciate,0.55,1
appreciation,0.55,1
appreciative,0.6,1
apprehend,0,0
apprehension,0.05,1
apprehensive,-0.35,-1
approach,0,0
appropriation,0,0
approval,0.4,1
approve,0.45,1
approximately,0,0
approximation,0.1,1
appurtenance,0,0
appurtenant,0,0
apt,-0.05,-1
arbitral,0,0
arbitrarily,-0.1,-1
arbitrariness,-0.25,-1
arbitrary,-0.3,-1
arbitrate,0.1,1
arbitration,0,0
arbitrator,0,0
arcane,0,0
archaic,-0.55,-1
ardent,0.6,1
arduous,-0.5,-1
argue,-0.15,-1
argument,-0.3,-1
argumentative,-0.25,-1
arid,-0.05,-1
arise,0.25,1
armor,0.25,1
armored,0.45,1
arouse,0.5,1
array,0,0
arrear,-0.25,-1
arrearage,-0.2,-1
arrest,-0.4,-1
arrogance,-0.4,-1
arrogant,-0.65,-1
art,0.15,1
artificial,-0.45,-1
artificially,-0.25,-1
ascend,0.5,1
ascendancy,0.35,1
ascendant,0.4,1
ascent,0.55,1
ashamed,-0.6,-1
ask,0,0
aspiration,0.6,1
aspirational,0.65,1
aspiring,0.35,1
assail,-0.45,-1
assault,-0.65,-1
assemble,0.35,1
assert,0.2,1
assertable,0.25,1
assertion,0.1,1
assertive,0.25,1
assignation,0,0
assignment,0.2,1
associated,0,0
assorted,0.05,1
assuage,0.25,1
assume,0,0
assumption,0,0
assure,0.35,1
assured,0.35,1
astonish,0.45,1
astonishing,0.55,1
astonishment,0.45,1
astounding,0.75,1
astute,0.35,1
atomic,0,0
atrocious,-0.6,-1
atrophy,-0.3,-1
attain,0.55,1
attainable,0.45,1
attainment,0.3,1
attempt,0.35,1
attend,0.2,1
attention,0.5,1
attentive,0.5,1
attest,0,0
attestation,0,0
attorney,0,0
attornment,0,0
attorns,0,0
attract,0.55,1
attraction,0.6,1
attractive,0.65,1
attractiveness,0.65,1
attributable,0.3,1
attribute,0.1,1
attrition,-0.1,-1
attune,0.35,1
attuned,0.2,1
atypical,0,0
audacious,0.1,1
audit,-0.15,-1
augment,0.35,1
augur,0,0
aura,0.05,1
auspicious,0.45,1
austere,-0.05,-1
austerity,0,0
authentic,0.6,1
authoritarian,0,0
authority,0,0
autocratic,-0.4,-1
automate,0.5,1
automotive,0,0
autonomous,0.15,1
autonomy,0.4,1
auxiliary,0.45,1
availability,0.6,1
avalanche,-0.5,-1
avaricious,-0.6,-1
average,0,0
aversion,-0.5,-1
avert,0.15,1
avid,0.45,1
avoidable,0.1,1
avoidance,-0.35,-1
await,0,0
awake,0.2,1
awakening,0.35,1
award,0.5,1
aware,0.4,1
awareness,0.45,1
awash,-0.2,-1
awe,0.55,1
awesome,0.95,1
awful,-0.5,-1
awkward,-0.35,-1
back,0,0
backbone,0.4,1
backbreaking,-0.6,-1
backdate,-0.2,-1
backdrop,0,0
backer,0.4,1
backfire,-0.75,-1
background,0,0
backlash,-0.5,-1
backlog,-0.3,-1
backtrack,-0.3,-1
backup,0.35,1
backward,-0.4,-1
bad,-0.4,-1
baffle,-0.4,-1
baffling,-0.45,-1
bail,-0.25,-1
bailee,0,0
bailiff,0,0
bailment,0,0
bait,-0.2,-1
baking,0,0
balanced,0.35,1
bald,-0.2,-1
balk,-0.275,-1
ban,-0.45,-1
bandit,-0.45,-1
bane,-0.35,-1
bang,0.35,1
banish,-0.4,-1
bankable,0.7,1
bankroll,0.55,1
bankrupt,-0.9,-1
bankruptcy,-0.85,-1
bar,0,0
barbaric,-0.65,-1
bare,-0.25,-1
bargain,0.45,1
bargaining,0.4,1
barge,-0.3,-1
barren,-0.3,-1
barricade,-0.2,-1
barrier,-0.4,-1
baseless,-0.4,-1
bash,-0.3,-1
basic,0,0
batten,0,0
batter,-0.3,-1
battered,-0.55,-1
battering,-0.65,-1
battle,-0.4,-1
battlefield,-0.35,-1
battleground,-0.35,-1
be,0,0
bearer,0,0
beast,-0.45,-1
beat,0,0
beating,-0.55,-1
beautiful,0.65,1
beautifully,0.7,1
beautify,0.5,1
beauty,0.55,1
becalm,0,0
because,0,0
become,0,0
bed,0,0
bedevil,-0.25,-1
bedfellow,0,0
beefy,0.5,1
befall,-0.35,-1
befit,0.3,1
begrudge,-0.4,-1
beguiling,0,0
behave,0.45,1
beholden,0,0
belated,-0.1,-1
belch,-0.25,-1
beleaguered,-0.35,-1
belie,-0.5,-1
believable,0.55,1
belittle,-0.45,-1
belligerent,-0.5,-1
bellow,-0.2,-1
bellwether,0,0
belonging,0.1,1
beloved,0.6,1
bemoan,-0.15,-1
bend,0,0
beneficial,0.6,1
beneficially,0.6,1
beneficiated,0.3,1
beneficiation,0.35,1
benevolent,0.5,1
benighted,-0.65,-1
benign,0.35,1
bequest,0.25,1
berate,-0.05,-1
bereft,-0.45,-1
berth,0,0
beset,-0.35,-1
besiege,-0.5,-1
bespoke,0,0
bestow,0.4,1
bestseller,0.75,1
betray,-0.5,-1
betrayal,-0.8,-1
beware,-0.4,-1
bewilder,-0.4,-1
bewildering,-0.35,-1
bias,-0.45,-1
bicker,-0.45,-1
bidder,0,0
bidding,0.2,1
bilk,-0.4,-1
bill,0,0
bind,-0.2,-1
binge,0.2,1
bite,0,0
bitter,-0.5,-1
bitterness,-0.45,-1
bittersweet,-0.2,-1
bizarre,-0.4,-1
blacken,-0.4,-1
blacklist,-0.8,-1
blackmail,-0.9,-1
blackout,-0.4,-1
blackspot,-0.55,-1
blame,-0.6,-1
bland,-0.35,-1
blank,0,0
blare,-0.25,-1
blast,0,0
blatant,-0.05,-1
blazing,0.45,1
bleak,-0.5,-1
bleed,-0.5,-1
blended,0.1,1
bless,0.75,1
blessing,0.8,1
blight,-0.45,-1
blighted,-0.4,-1
blind,-0.4,-1
blindside,-0.5,-1
blink,-0.1,-1
blip,-0.2,-1
blissful,0.7,1
blistering,-0.3,-1
blitz,0.2,1
bloat,-0.35,-1
bloated,-0.45,-1
bloc,0,0
block,-0.35,-1
blockade,-0.55,-1
blood,-0.1,-1
bloodbath,-0.7,-1
bloody,-0.65,-1
bloom,0.6,1
blossom,0.65,1
blot,-0.3,-1
blow,-0.45,-1
blowout,0.45,1
bludgeon,-0.05,-1
bluff,-0.4,-1
blunder,-0.6,-1
blunt,-0.25,-1
blur,-0.25,-1
board,0,0
boast,0.2,1
bob,0,0
bode,0,0
bodied,0,0
bog,-0.45,-1
boggling,0,0
bogus,-0.5,-1
boil,-0.1,-1
boisterous,0.3,1
bolster,0.5,1
bombshell,-0.5,-1
bona,0,0
bonafide,0.2,1
bonanza,0.45,1
bonus,0.8,1
boom,0.8,1
boon,0.15,1
boost,0.4,1
bootleg,-0.35,-1
border,0,0
borderless,0.1,1
borderline,-0.45,-1
bored,-0.45,-1
boring,-0.4,-1
boss,0,0
botch,-0.35,-1
botched,-0.6,-1
bother,-0.3,-1
bothersome,-0.5,-1
bottleneck,-0.4,-1
bottom,-0.25,-1
bottomless,-0.4,-1
bounce,0.35,1
bouncy,-0.05,-1
bound,0,0
bounty,0,0
bout,0,0
bouyant,0.25,1
boycott,-0.35,-1
brace,0.1,1
brag,-0.3,-1
brake,-0.25,-1
brand,0,0
brandish,0.15,1
brash,-0.4,-1
brave,0.65,1
brawl,-0.5,-1
breach,-0.5,-1
breadth,0,0
break,-0.2,-1
breakage,-0.4,-1
breakdown,-0.65,-1
breakeven,0.3,1
breakthrough,0.65,1
breakup,-0.3,-1
breath,0,0
breathe,0.25,1
breather,0.25,1
breathless,0,0
breathtaking,0.7,1
breed,0.15,1
bribe,-0.5,-1
bribery,-0.6,-1
bridge,0.05,1
bright,0.45,1
brighten,0.7,1
brilliant,0.75,1
brim,0.5,1
brink,-0.05,-1
brisk,0.3,1
british,0,0
brittle,-0.4,-1
broad,0.35,1
broaden,0.4,1
brokered,0.2,1
brooding,-0.35,-1
browbeat,-0.45,-1
bruise,-0.4,-1
brunt,-0.4,-1
brutal,-0.6,-1
brutalize,-0.75,-1
buck,0.3,1
bud,0.35,1
budge,-0.2,-1
buff,0.35,1
buffer,0.3,1
buffet,0,0
bug,-0.3,-1
buildup,0.15,1
bulge,0,0
bulk,0.2,1
bulky,0,0
bullish,-0.35,-1
bully,-0.45,-1
bullying,-0.75,-1
bump,0.25,1
bumpy,-0.4,-1
bungle,-0.55,-1
buoyancy,0.1,1
buoyant,0.45,1
burden,-0.5,-1
burdensome,-0.5,-1
bureaucracy,-0.1,-1
bureaucrat,0,0
burgeon,0.35,1
burglar,-0.7,-1
burglarize,-0.5,-1
burgle,-0.7,-1
burn,-0.4,-1
burnish,0,0
burst,-0.35,-1
bursting,-0.2,-1
bury,-0.25,-1
businesses,0,0
busted,-0.4,-1
bustling,0.5,1
busy,0.2,1
buyback,0.1,1
buyout,-0.1,-1
bypass,0,0
byword,0.1,1
cagey,0,0
cajole,0,0
calamitous,-0.7,-1
calamity,-0.7,-1
calculate,0,0
calibrate,0.25,1
call,0,0
calm,0.3,1
calmness,0.35,1
camp,0,0
can,0,0
cancel,-0.4,-1
cancellation,-0.45,-1
candid,0.3,1
cannibalize,-0.6,-1
canny,0.3,1
cap,0,0
capability,0.4,1
capable,0.6,1
capitalism,0,0
capitulate,-0.35,-1
capped,0.3,1
capricious,-0.45,-1
capsize,-0.4,-1
captivate,0.35,1
captivating,0.6,1
captive,0,0
capture,0.1,1
car,0,0
care,0.3,1
careful,0.65,1
careless,-0.4,-1
carelessly,-0.4,-1
carelessness,-0.35,-1
caricature,0,0
caring,0.75,1
carnage,-0.6,-1
carve,0,0
case,0,0
caste,0.25,1
castigate,-0.15,-1
casual,0.2,1
casualised,-0.35,-1
casualty,-0.5,-1
cataclysmic,-0.55,-1
catalyst,0.1,1
catalyze,0.15,1
catapult,0.6,1
catastrophe,-0.95,-1
catastrophic,-1,-1
catastrophically,-0.95,-1
catch,0,0
cater,0.15,1
cause,0,0
caution,-0.2,-1
cautionary,-0.15,-1
cautious,-0.1,-1
cautiously,0.1,1
cautiousness,0,0
cavernous,-0.05,-1
cease,-0.3,-1
ceaseless,0.1,1
cede,-0.25,-1
celebrated,0.65,1
celebration,0.75,1
celebratory,0.55,1
censor,0,0
censure,-0.4,-1
cent,0,0
center,0,0
centre,0,0
ceremony,0,0
certainty,0.4,1
cession,0,0
chagrin,-0.3,-1
challenge,-0.1,-1
champion,0.7,1
chance,0.55,1
chancy,-0.45,-1
changeover,0,0
chaos,-0.65,-1
chaotic,-0.7,-1
charge,0,0
charging,-0.05,-1
charismatic,0.6,1
charitable,0.5,1
charity,0.5,1
charm,0.5,1
charred,-0.25,-1
chart,0,0
chasten,-0.15,-1
chastise,-0.35,-1
chattel,0,0
cheap,-0.2,-1
cheapen,-0.45,-1
cheat,-0.55,-1
cheating,-0.7,-1
cheer,0.6,1
cherish,0.7,1
chide,-0.4,-1
chill,-0.05,-1
chilled,-0.1,-1
chilling,0.2,1
chilly,-0.15,-1
chinese,0,0
choke,-0.6,-1
choosy,-0.25,-1
chop,-0.15,-1
choppy,-0.5,-1
chronic,-0.55,-1
circle,0,0
circumspect,-0.25,-1
circumvent,0,0
circumvention,-0.2,-1
civil,0.25,1
claim,0,0
claimable,0,0
claimant,0,0
clamber,-0.3,-1
clamor,-0.05,-1
clamp,-0.05,-1
clampdown,0,0
clandestine,-0.4,-1
clarification,0.4,1
clarify,0.6,1
clarity,0.5,1
clash,-0.5,-1
classify,0.15,1
classy,0.6,1
claw,-0.35,-1
clawback,-0.3,-1
clawbacks,-0.3,-1
clean,0.5,1
cleaning,0.3,1
cleanup,0.4,1
clear,0,0
clearly,0,0
clever,0.45,1
cliff,0,0
climate,0,0
climax,0.55,1
climbdown,-0.25,-1
clinch,0.1,1
cling,-0.05,-1
clobber,-0.45,-1
clog,-0.4,-1
closeout,-0.35,-1
cloud,0.15,1
cloudy,-0.25,-1
clueless,-0.35,-1
clumsy,-0.35,-1
clunky,-0.35,-1
clutch,-0.1,-1
coalesce,0.2,1
cocky,-0.5,-1
coddle,0,0
codicil,0,0
codification,0,0
codify,0,0
coerce,-0.65,-1
coercion,-0.6,-1
coercive,-0.45,-1
coffer,0,0
coherent,0.6,1
cohesion,0.4,1
cohesive,0.2,1
coincide,0.2,1
cold,-0.2,-1
collaborate,0.35,1
collaboration,0.3,1
collaborative,0.55,1
collaborator,0.3,1
collapse,-0.8,-1
collapsed,-1,-1
collateral,0,0
collateralize,0.25,1
collectivize,0.4,1
collector,0,0
collide,-0.4,-1
collision,-0.35,-1
collude,-0.55,-1
collusion,-0.6,-1
collusive,-0.35,-1
colony,0,0
colored,0,0
colorful,0.4,1
colossal,0.65,1
colossus,0.4,1
comatose,-0.4,-1
comb,0.05,1
combat,-0.35,-1
combative,0,0
combination,0,0
combine,0,0
combined,0.3,1
come,0,0
comfort,0.7,1
comfortable,0.5,1
command,0.35,1
commemorate,0.5,1
commence,0.35,1
commend,0.25,1
commendable,0.65,1
commercialize,0.1,1
commingle,0,0
commit,0.5,1
commitment,0.3,1
commoditize,0,0
common,0,0
companies,0,0
companion,0.65,1
compare,0.05,1
compassion,0.5,1
compassionate,0.75,1
compel,0,0
compensate,0.7,1
compensation,0.55,1
compensatory,0.3,1
compete,0.15,1
competent,0.55,1
competition,0,0
competitor,0,0
complacency,-0.1,-1
complacent,0,0
complain,-0.3,-1
complainant,-0.25,-1
complaint,-0.4,-1
complete,0.4,1
complex,0,0
complexity,0,0
compliant,0.4,1
complicate,-0.4,-1
complication,-0.45,-1
complicit,-0.5,-1
compliment,0.6,1
complimentary,0.6,1
comply,0.35,1
composite,0,0
compound,0,0
comprehend,0.25,1
comprehensive,0.4,1
comprise,0,0
compromise,-0.2,-1
compulsion,-0.05,-1
compulsive,-0.25,-1
compulsory,-0.2,-1
computerized,0.15,1
conceal,-0.1,-1
concede,-0.15,-1
conceivable,0.1,1
conceivably,0,0
concentrate,0.4,1
concentrated,0.05,1
concentration,0.35,1
conceptualize,0.15,1
concern,-0.2,-1
concerted,0.4,1
concession,0.35,1
concessional,0.2,1
conciliate,0.3,1
conciliation,0.15,1
conciliatory,0.3,1
conclude,0.25,1
conclusive,0.2,1
conclusively,0.3,1
concur,0.15,1
condemn,-0.5,-1
condemnation,-0.5,-1
conditional,0,0
conditionally,0,0
condone,0.2,1
conducive,0.35,1
confess,0,0
confession,0,0
confide,0.3,1
confidence,0.6,1
confident,0.6,1
confine,-0.45,-1
confinement,-0.45,-1
confirm,0.3,1
confirmation,0.25,1
confiscate,-0.4,-1
confiscation,-0.5,-1
confiscatory,-0.3,-1
conflict,-0.5,-1
conflicting,-0.5,-1
conform,0.3,1
confound,0.15,1
confront,-0.1,-1
confrontation,-0.45,-1
confrontational,-0.5,-1
confuse,-0.4,-1
confusingly,-0.3,-1
confusion,-0.4,-1
congenial,0.4,1
congested,-0.4,-1
congestion,-0.6,-1
congratulate,0.55,1
congregate,0.35,1
conjure,0.2,1
connection,0.4,1
conquer,0.5,1
conscientious,0.25,1
conscious,0.5,1
consciousness,0.45,1
consecutive,0.1,1
consensual,0.5,1
consensus,0.4,1
consent,0.3,1
conservative,0.3,1
conserve,0.5,1
consider,0,0
considerable,0.25,1
consideration,0.45,1
consistent,0.55,1
consolation,0.3,1
consolidate,0.2,1
consolidated,0.35,1
conspicuous,-0.3,-1
conspiracy,-0.35,-1
conspirator,-0.4,-1
conspiratorial,-0.6,-1
conspire,-0.55,-1
constant,0.15,1
consternation,-0.45,-1
constituent,0.2,1
constitute,0,0
constitutive,0.25,1
constrain,-0.3,-1
constraint,-0.5,-1
constrict,-0.3,-1
construct,0.2,1
constructive,0.4,1
constructively,0.45,1
construe,0,0
consume,0.35,1
contagion,-0.85,-1
contagious,-0.6,-1
contain,0,0
containerize,0,0
contamination,-0.85,-1
contemplate,0.15,1
contempt,-0.5,-1
contend,0,0
contender,0.05,1
content,0.1,1
contented,0.45,1
contention,-0.35,-1
contentious,-0.3,-1
contentiously,-0.2,-1
contest,-0.1,-1
contestability,0.05,1
contestation,-0.15,-1
context,0,0
contingency,0.15,1
contingent,0.1,1
contingently,0,0
continual,0.2,1
continuation,0.55,1
continuity,0.3,1
contract,0,0
contractible,-0.2,-1
contractile,-0.1,-1
contraction,-0.3,-1
contractionary,-0.1,-1
contractual,0,0
contractually,0,0
contradict,-0.4,-1
contradiction,-0.3,-1
contradictory,-0.45,-1
contrarian,-0.3,-1
contrary,-0.25,-1
contrast,0,0
contravene,-0.3,-1
contravention,-0.75,-1
contrive,-0.4,-1
contrived,-0.35,-1
control,0.2,1
controlling,0.1,1
controversial,-0.45,-1
controversy,-0.5,-1
conundrum,-0.45,-1
convene,0,0
convenience,0.35,1
convenient,0.45,1
conventional,0.15,1
converge,0.6,1
convergence,0.15,1
convict,-0.55,-1
conviction,-0.25,-1
convince,0.15,1
convinced,0.35,1
convincing,0.55,1
convivial,0,0
convoluted,-0.5,-1
convulse,-0.4,-1
cool,0.25,1
cooling,0.2,1
cooperate,0.7,1
cooperation,0.7,1
cooperative,0.35,1
coordinate,0.45,1
copious,0.6,1
copy,0,0
copycat,-0.35,-1
correct,0.45,1
correction,0.25,1
corrective,0.35,1
correctness,0.45,1
corrosive,-0.7,-1
corrupt,-0.65,-1
corruption,-0.65,-1
corruptly,-0.5,-1
corruptness,-0.8,-1
cosmetic,0.15,1
cosmopolitan,0.25,1
cosset,-0.1,-1
costly,-0.5,-1
coterminous,0,0
counsel,0,0
counseling,0.55,1
countenance,0.4,1
counteract,0.2,1
counterattack,-0.3,-1
counterclaim,0,0
counterclaimed,0,0
counterclaiming,-0.1,-1
countercyclical,-0.3,-1
counterfeit,-0.7,-1
counterfeiter,-0.8,-1
countermeasure,0,0
counterproductive,-0.65,-1
countersuit,-0.35,-1
countervail,0.15,1
countless,0.15,1
country,0,0
coup,-0.35,-1
courage,0.65,1
courageous,0.8,1
course,0,0
court,0,0
courteous,0.55,1
courtesy,0.45,1
courtroom,0,0
covenant,0,0
covert,0,0
coveted,0.5,1
coy,0,0
cozy,0.3,1
crackdown,-0.45,-1
crackle,-0.3,-1
craftsmanship,0.6,1
cramp,-0.2,-1
cramped,-0.3,-1
crappy,-0.6,-1
crash,-0.85,-1
crass,-0.4,-1
crave,0.1,1
crawl,-0.2,-1
craze,-0.1,-1
crazed,-0.45,-1
crazy,-0.4,-1
creak,-0.35,-1
creaky,-0.45,-1
crease,-0.15,-1
creative,0.65,1
creatively,0.7,1
creativeness,0.6,1
creativity,0.7,1
creature,0,0
credibility,0.6,1
credible,0.55,1
creditable,0.4,1
creditworthiness,0.55,1
creditworthy,0.55,1
creep,-0.4,-1
creepy,-0.6,-1
cremate,-0.6,-1
crest,0.4,1
crime,-0.75,-1
criminal,-0.4,-1
criminality,-0.8,-1
criminalize,-0.65,-1
criminally,-0.5,-1
cripple,-0.8,-1
crippling,-0.5,-1
crisis,-0.75,-1
crisp,0.45,1
critic,-0.4,-1
critical,-0.2,-1
critically,-0.1,-1
criticism,-0.3,-1
criticize,-0.575,-1
critique,0.05,1
crony,0,0
crook,-0.7,-1
crooked,-0.45,-1
crop,0,0
crossclaim,0,0
crossroad,-0.05,-1
crowded,-0.4,-1
crucial,-0.25,-1
crucially,0,0
crucify,-0.55,-1
cruel,-0.75,-1
crumble,-0.75,-1
crummy,-0.45,-1
crumple,-0.5,-1
crunch,-0.3,-1
crusade,0.35,1
crush,-0.05,-1
crutch,-0.2,-1
cry,-0.4,-1
crystallise,0.2,1
crystallize,0,0
cue,0.05,1
cull,-0.3,-1
culminate,0.4,1
culpability,-0.25,-1
culpable,-0.4,-1
culpably,-0.4,-1
culprit,-0.5,-1
cumbersome,-0.4,-1
curb,-0.15,-1
cure,0.6,1
currency,0,0
curse,-0.7,-1
curtail,-0.25,-1
curtailment,-0.25,-1
cushion,0.55,1
cushy,0.3,1
cutback,-0.35,-1
cute,0.5,1
cutthroat,-0.6,-1
cyberattack,-0.8,-1
cyberattacks,-0.8,-1
cyberbullying,-0.8,-1
cybercrime,-0.6,-1
cybercrimes,-0.9,-1
cybercriminal,-0.75,-1
cybercriminals,-0.85,-1
cycle,0,0
cyclical,0.2,1
cyclicality,-0.05,-1
cynical,-0.7,-1
cynicism,-0.25,-1
dabble,0.1,1
daft,-0.1,-1
dam,0,0
damage,-0.7,-1
damn,-0.55,-1
damned,-0.6,-1
damning,-0.7,-1
damp,-0.3,-1
damped,-0.25,-1
dampen,-0.35,-1
damper,-0.3,-1
danger,-0.8,-1
dangerous,-0.55,-1
dangerously,-0.8,-1
dangle,-0.05,-1
dare,0,0
daring,0.35,1
darken,-0.35,-1
darkness,-0.3,-1
darling,0.3,1
darn,-0.35,-1
dash,0,0
date,0,0
daunt,-0.35,-1
daunting,-0.35,-1
dawn,0,0
day,0,0
daze,-0.1,-1
dazzle,0.5,1
dazzling,0.7,1
deactivate,-0.45,-1
deadbeat,-0.55,-1
deadlock,-0.5,-1
deadly,-0.6,-1
deadweight,-0.55,-1
deaf,-0.45,-1
dearth,-0.5,-1
debacle,-0.45,-1
debar,-0.4,-1
debarment,-0.65,-1
debate,0,0
debenture,0,0
debilitating,-0.45,-1
debit,0,0
debris,-0.35,-1
decadent,0,0
decay,-0.65,-1
